UNIQUE ID	PONUMBER	INVOICE NO	INVOICE DATE	VENDOR/SUPPLIER NO	DMR Number	gateno	gatedate	GATE ENTRY TIME	Plant	PO DATE	Name of Person Responsible for Creating the Object	Date on which the record was created	Material Staging Time (Local Relating to a Plant)	Transport Details	BOE number	BOE Date	HAWB Number	MAWB Number	Vehicle Number	Number of Boxes/Palletes
321388 | 1112500292 | PT1/G/25-26/0341 |  | Pranav Techone Private Limited | DMR2500121 | RSS1000 | 09-07-2025 | 11:54 | 1040 SRI RANGA  |  | Thanya Software | 05-08-2025 | 15:51 | SEA | NA |  | NA |  | TN-01-AB-001 | 2
321388 | 1112500292 | PT1/G/25-26/0341 | 16-06-2025 | Pranav Techone Private Limited | DMR2500121 | RSS1000 | 09-07-2025 | 11:54 | 1040 SRI RANGA  |  | Thanya Software | 05-08-2025 | 15:51 | AIR | NA | 16-06-2025 | NA |  | TN-01-AB-001 | 2
321388 | 1112500292 | PT1/G/25-26/0341 | 16-06-2025 | Pranav Techone Private Limited | DMR2500121 | RSS1000 | 09-07-2025 | 11:54 | 1040 SRI RANGA  |  | Thanya Software | 05-08-2025 | 15:51 | ROAD | NA | 16-06-2025 | NA |  | TN-01-AB-001 | 2
321388 | 1112500292 | PT1/G/25-26/0341 | 16-06-2025 | Pranav Techone Private Limited | DMR2500121 | RSS1000 | 09-07-2025 | 11:54 | 1040 SRI RANGA  |  | Thanya Software | 05-08-2025 | 15:51 | AIR | NA | 16-06-2025 | NA |  | TN-01-AB-001 | 2
321388 | 1112500292 | PT1/G/25-26/0341 | 16-06-2025 | Pranav Techone Private Limited | DMR2500121 | RSS1000 | 09-07-2025 | 11:54 | 1040 SRI RANGA  |  | Thanya Software | 05-08-2025 | 15:51 | AIR | NA | 16-06-2025 | NA |  | TN-01-AB-001 | 2
321388 | 1112500292 | PT1/G/25-26/0341 | 16-06-2025 | Pranav Techone Private Limited | DMR2500121 | RSS1000 | 09-07-2025 | 11:54 | 1040 SRI RANGA  |  | Thanya Software | 05-08-2025 | 15:51 | SEA | NA | 16-06-2025 | NA |  | TN-01-AB-001 | 2
321388 | 1112500292 | PT1/G/25-26/0341 | 16-06-2025 | Pranav Techone Private Limited | DMR2500121 | RSS1000 | 09-07-2025 | 11:54 | 1040 SRI RANGA  |  | Thanya Software | 05-08-2025 | 15:51 | SEA | NA | 16-06-2025 | NA |  | TN-01-AB-001 | 2
321388 | 1112500292 | PT1/G/25-26/0341 | 16-06-2025 | Pranav Techone Private Limited | DMR2500121 | RSS1000 | 09-07-2025 | 11:54 | 1040 SRI RANGA  |  | Thanya Software | 05-08-2025 | 15:51 | SEA | NA | 16-06-2025 | NA |  | TN-01-AB-001 | 2
321388 | 1112500292 | PT1/G/25-26/0341 | 16-06-2025 | Pranav Techone Private Limited | DMR2500121 | RSS1000 | 09-07-2025 | 11:54 | 1040 SRI RANGA  |  | Thanya Software | 05-08-2025 | 15:51 | SEA | NA | 16-06-2025 | NA |  | TN-01-AB-001 | 2
321388 | 1112500292 | PT1/G/25-26/0341 | 16-06-2025 | Pranav Techone Private Limited | DMR2500121 | RSS1000 | 09-07-2025 | 11:54 | 1040 SRI RANGA  |  | Thanya Software | 05-08-2025 | 15:51 | SEA | NA | 16-06-2025 | NA |  | TN-01-AB-001 | 2
321388 | 1142503397 | 3326121668 | 30-07-2025 | TEJAS 1140 | DMR2500121 | RSS1000 | 09-07-2025 | 11:54 | 1040 SRI RANGA  |  | Thanya Software | 05-08-2025 | 15:51 | AIR |  |  |  |  | TN-01-AB-001 | 1
321388 | 1142503397 | 3326121668 | 30-07-2025 | TEJAS 1140 | DMR2500121 | RSS1000 | 09-07-2025 | 11:54 | 1040 SRI RANGA  |  | Thanya Software | 05-08-2025 | 15:51 | AIR |  |  |  |  | TN-01-AB-001 | 1
321388 | 1142503397 | 3326121668 | 30-07-2025 | TEJAS 1140 | DMR2500121 | RSS1000 | 09-07-2025 | 11:54 | 1040 SRI RANGA  |  | Thanya Software | 05-08-2025 | 15:51 | AIR |  |  |  |  | TN-01-AB-001 | 1
321388 | 1142503397 | 3326121668 | 30-07-2025 | TEJAS 1140 | DMR2500121 | RSS1000 | 09-07-2025 | 11:54 | 1040 SRI RANGA  |  | Thanya Software | 05-08-2025 | 15:51 | AIR |  |  |  |  | TN-01-AB-001 | 1
321388 | 1142503397 | 3326121668 | 30-07-2025 | TEJAS 1140 | DMR2500121 | RSS1000 | 09-07-2025 | 11:54 | 1040 SRI RANGA  |  | Thanya Software | 05-08-2025 | 15:51 | AIR |  |  |  |  | TN-01-AB-001 | 1
321388 | 1142503397 | 3326121668 | 30-07-2025 | TEJAS 1140 | DMR2500121 | RSS1000 | 09-07-2025 | 11:54 | 1040 SRI RANGA  |  | Thanya Software | 05-08-2025 | 15:51 | AIR |  |  |  |  | TN-01-AB-001 | 1
321388 | 1142503397 | 3326121668 | 30-07-2025 | TEJAS 1140 | DMR2500121 | RSS1000 | 09-07-2025 | 11:54 | 1040 SRI RANGA  |  | Thanya Software | 05-08-2025 | 15:51 | SEA |  |  |  |  | TN-01-AB-001 | 1
321388 | 1142503397 | 3326121668 | 30-07-2025 | TEJAS 1140 | DMR2500121 | RSS1000 | 09-07-2025 | 11:54 | 1040 SRI RANGA  |  | Thanya Software | 05-08-2025 | 15:51 | SEA |  |  |  |  | TN-01-AB-001 | 1
321388 | 1142503397 | 3326121668 | 30-07-2025 | TEJAS 1140 | DMR2500121 | RSS1000 | 09-07-2025 | 11:54 | 1040 SRI RANGA  |  | Thanya Software | 05-08-2025 | 15:51 | SEA |  |  |  |  | TN-01-AB-001 | 1
321388 | 1142503397 | 3326121668 | 30-07-2025 | TEJAS 1140 | DMR2500121 | RSS1000 | 09-07-2025 | 11:54 | 1040 SRI RANGA  |  | Thanya Software | 05-08-2025 | 15:51 | ROAD |  |  |  |  | TN-01-AB-001 | 1
321388 | 1142503397 | 3326121668 | 30-07-2025 | TEJAS 1140 | DMR2500121 | RSS1000 | 09-07-2025 | 11:54 | 1040 SRI RANGA  |  | Thanya Software | 05-08-2025 | 15:51 | ROAD |  |  |  |  | TN-01-AB-001 | 1
321388 | 1142503397 | 3326121668 | 30-07-2025 | TEJAS 1140 | DMR2500121 | RSS1000 | 09-07-2025 | 11:54 | 1040 SRI RANGA  |  | Thanya Software | 05-08-2025 | 15:51 | ROAD |  |  |  |  | TN-01-AB-001 | 1
321388 | 1142503397 | 3326121668 | 30-07-2025 | TEJAS 1140 | DMR2500121 | RSS1000 | 09-07-2025 | 11:54 | 1040 SRI RANGA  |  | Thanya Software | 05-08-2025 | 15:51 | SEA |  |  |  |  | TN-01-AB-001 | 1
321388 | 1142503397 | 3326121668 | 30-07-2025 | TEJAS 1140 | DMR2500121 | RSS1000 | 09-07-2025 | 11:54 | 1040 SRI RANGA  |  | Thanya Software | 05-08-2025 | 15:51 | SEA |  |  |  |  | TN-01-AB-001 | 1
321388 | 1142503397 | 3326121668 | 30-07-2025 | TEJAS 1140 | DMR2500121 | RSS1000 | 09-07-2025 | 11:54 | 1040 SRI RANGA  |  | Thanya Software | 05-08-2025 | 15:51 | SEA |  |  |  |  | TN-01-AB-001 | 1
321388 | 1142503397 | 3326121668 | 30-07-2025 | TEJAS 1140 | DMR2500121 | RSS1000 | 09-07-2025 | 11:54 | 1040 SRI RANGA  |  | Thanya Software | 05-08-2025 | 15:51 | ROAD |  |  |  |  | TN-01-AB-001 | 1
321388 | 1142503397 | 3326121668 | 30-07-2025 | TEJAS 1140 | DMR2500121 | RSS1000 | 09-07-2025 | 11:54 | 1040 SRI RANGA  |  | Thanya Software | 05-08-2025 | 15:51 | ROAD |  |  |  |  | TN-01-AB-001 | 1
321388 | 1142503397 | 3326121668 | 30-07-2025 | TEJAS 1140 | DMR2500121 | RSS1000 | 09-07-2025 | 11:54 | 1040 SRI RANGA  |  | Thanya Software | 05-08-2025 | 15:51 | ROAD |  |  |  |  | TN-01-AB-001 | 1
